GENESIS-Tabelle: 12612-0007
Lebendgeborene: Deutschland, Jahre, Alter der Mutter,;;;;;
Geschlecht der Lebendgeborenen, Familienstand der Eltern;;;;;
Statistik der Geburten;;;;;
Deutschland;;;;;
Lebendgeborene (Anzahl);;;;;
;;Geschlecht der Lebendgeborenen;Geschlecht der Lebendgeborenen;Geschlecht der Lebendgeborenen;Geschlecht der Lebendgeborenen
;;männlich;männlich;weiblich;weiblich
;;Familienstand der Eltern;Familienstand der Eltern;Familienstand der Eltern;Familienstand der Eltern
;;verheiratet;nicht verheiratet;verheiratet;nicht verheiratet
2017;20-Jährige;1204;3260;1209;3124
2017;21-Jährige;2062;3894;1923;3747
2017;22-Jährige;2798;4353;2678;4167
2017;23-Jährige;4010;4530;3827;4516
2017;24-Jährige;5474;5202;5273;4882
2017;25-Jährige;7651;5958;7011;5621
2017;26-Jährige;10121;6741;9290;6586
2017;27-Jährige;13272;8378;12517;7982
2017;28-Jährige;15564;8776;14824;8294
2017;29-Jährige;18570;9570;17712;8991
2017;30-Jährige;20333;9209;19659;8939
2017;31-Jährige;21643;9178;20596;8747
2017;32-Jährige;21621;8433;20190;7880
2017;33-Jährige;20611;7905;19397;7625
2017;34-Jährige;19239;7214;18097;6938
2017;35-Jährige;17684;6662;17083;6417
2017;36-Jährige;15553;5999;14979;5691
2017;37-Jährige;12893;5162;12180;4955
2017;38-Jährige;9901;3971;9315;3768
2017;39-Jährige;7633;3172;7097;2973
2017;40-Jährige;5590;2350;5276;2362
2017;41-Jährige;3663;1645;3460;1527
2017;42-Jährige;2205;1041;2073;989
2017;43-Jährige;1273;668;1216;598
2017;44-Jährige;692;368;619;291
2017;45-Jährige;368;211;421;182
2017;46-Jährige;194;103;196;108
2017;47-Jährige;96;54;103;56
2017;48-Jährige;58;28;45;25
2017;49-Jährige;33;19;29;17
2017;50 Jahre und mehr;58;36;52;39
2017;Alter unbekannt;1;43;4;46
2018;unter 15 Jahre;-;31;-;29
2018;15-Jährige;-;93;-;101
2018;16-Jährige;6;316;8;327
2018;17-Jährige;29;762;34;709
2018;18-Jährige;147;1436;152;1319
2018;19-Jährige;597;2269;540;2070
2018;20-Jährige;1227;3053;1184;2842
2018;21-Jährige;2028;3769;1873;3606
2018;22-Jährige;2960;4320;2721;3991
2018;23-Jährige;3978;4458;3817;4356
2018;24-Jährige;5647;5009;5138;4656
2018;25-Jährige;7225;5734;7119;5197
2018;26-Jährige;9575;6348;9250;6039
2018;27-Jährige;12389;7060;11597;6560
2018;28-Jährige;16096;8530;15130;8233
2018;29-Jährige;18281;8885;17518;8626
2018;30-Jährige;21048;9311;20214;8720
2018;31-Jährige;22158;9143;21123;8493
2018;32-Jährige;22163;8584;21200;8283
2018;33-Jährige;20776;8043;19894;7476
2018;34-Jährige;19601;7315;18804;6835
2018;35-Jährige;18262;6806;16829;6502
2018;36-Jährige;16065;6161;15136;5766
2018;37-Jährige;13210;5104;12608;4901
2018;38-Jährige;10536;4389;10065;4283
2018;39-Jährige;7765;3340;7613;3094
2018;40-Jährige;5877;2462;5453;2375
2018;41-Jährige;3763;1751;3659;1707
2018;42-Jährige;2408;1141;2269;1096
2018;43-Jährige;1353;669;1274;648
2018;44-Jährige;748;401;709;358
2018;45-Jährige;394;217;363;212
2018;46-Jährige;229;105;209;96
2018;47-Jährige;101;53;118;38
2018;48-Jährige;64;51;59;30
2018;49-Jährige;50;17;45;22
2018;50 Jahre und mehr;70;40;72;29
2018;Alter unbekannt;2;48;2;47
2019;unter 15 Jahre;-;30;-;13
2019;15-Jährige;-;102;-;104
2019;16-Jährige;4;256;6;273
2019;17-Jährige;21;661;19;612
2019;18-Jährige;123;1332;132;1187
2019;19-Jährige;549;2132;524;1937
2019;20-Jährige;1143;2833;1083;2681
2019;21-Jährige;1776;3467;1792;3209
2019;22-Jährige;2797;3974;2587;3789
2019;23-Jährige;3908;4436;3698;4279
2019;24-Jährige;5381;4751;4982;4550
2019;25-Jährige;7178;5224;6666;4970
2019;26-Jährige;9350;5831;8944;5591
2019;27-Jährige;11808;6633;11225;6225
2019;28-Jährige;14944;7215;14011;6866
2019;29-Jährige;18593;8858;17632;8471
2019;30-Jährige;20672;8774;19877;8373
2019;31-Jährige;22841;9215;21759;8666
2019;32-Jährige;22859;8929;21420;8172
2019;33-Jährige;21719;8024;20812;7759
2019;34-Jährige;20011;7311;18599;6972
2019;35-Jährige;17964;6692;17067;6326
2019;36-Jährige;15516;5935;14911;5720
2019;37-Jährige;13257;5230;12598;5002
2019;38-Jährige;10482;4142;9907;4097
2019;39-Jährige;8383;3546;7833;3362
2019;40-Jährige;5947;2539;5766;2435
2019;41-Jährige;3935;1779;3686;1767
2019;42-Jährige;2327;1192;2260;1100
2019;43-Jährige;1430;725;1304;703
2019;44-Jährige;747;390;704;373
2019;45-Jährige;393;215;372;197
2019;46-Jährige;201;92;191;103
2019;47-Jährige;139;60;114;62
2019;48-Jährige;54;31;67;33
2019;49-Jährige;45;37;40;27
2019;50 Jahre und mehr;86;44;77;64
2019;Alter unbekannt;6;66;1;62
2020;unter 15 Jahre;-;27;-;20
2020;15-Jährige;-;130;-;103
2020;16-Jährige;4;326;4;292
2020;17-Jährige;20;646;26;577
2020;18-Jährige;110;1239;98;1135
2020;19-Jährige;408;1959;433;1874
2020;20-Jährige;970;2714;922;2541
2020;21-Jährige;1587;3292;1504;3120
2020;22-Jährige;2414;3713;2338;3580
2020;23-Jährige;3693;4269;3489;3933
2020;24-Jährige;5189;4803;5020;4551
2020;25-Jährige;6800;5127;6308;4926
2020;26-Jährige;9083;5634;8485;5498
2020;27-Jährige;11447;6414;11054;6186
2020;28-Jährige;14803;6969;13651;6520
2020;29-Jährige;17562;7761;16511;7223
2020;30-Jährige;21554;9091;20115;8545
2020;31-Jährige;22795;9043;21302;8524
2020;32-Jährige;23255;8922;22216;8440
2020;33-Jährige;22128;8152;21291;7795
2020;34-Jährige;20652;7470;19397;7237
2020;35-Jährige;18312;6847;17237;6487
2020;36-Jährige;15660;6052;14990;5658
2020;37-Jährige;12997;5192;12330;5009
2020;38-Jährige;10470;4417;9851;4057
2020;39-Jährige;8381;3499;7812;3282
2020;40-Jährige;6339;2784;5966;2736
2020;41-Jährige;3890;1898;3744;1780
2020;42-Jährige;2326;1273;2290;1139
2020;43-Jährige;1476;767;1377;748
2020;44-Jährige;761;454;754;376
2020;45-Jährige;409;194;383;210
2020;46-Jährige;210;100;181;123
2020;47-Jährige;108;62;111;47
2020;48-Jährige;57;32;57;33
2020;49-Jährige;64;18;40;21
2020;50 Jahre und mehr;60;35;52;39
2020;Alter unbekannt;3;63;-;55
2021;unter 15 Jahre;.;.;.;.
2021;15-Jährige;-;113;-;89
2021;16-Jährige;.;.;.;.
2021;17-Jährige;23;593;16;569
2021;18-Jährige;110;1112;88;976
2021;19-Jährige;357;1770;336;1680
2021;20-Jährige;828;2492;780;2316
2021;21-Jährige;1466;3152;1434;2948
2021;22-Jährige;2322;3537;2140;3366
2021;23-Jährige;3320;4031;3241;3824
2021;24-Jährige;4907;4640;4721;4471
2021;25-Jährige;6867;5345;6532;5032
2021;26-Jährige;8998;5921;8443;5521
2021;27-Jährige;11519;6150;10865;5960
2021;28-Jährige;14404;7018;13920;6570
2021;29-Jährige;17632;7558;17006;7256
2021;30-Jährige;20757;8352;19593;7714
2021;31-Jährige;24081;9537;22632;9020
2021;32-Jährige;24221;9389;22809;8857
2021;33-Jährige;23864;8917;22938;8551
2021;34-Jährige;21852;8256;20893;7684
2021;35-Jährige;19872;7386;18733;6878
2021;36-Jährige;16781;6460;15961;6046
2021;37-Jährige;13611;5530;12957;5220
2021;38-Jährige;10857;4516;10389;4342
2021;39-Jährige;8529;3781;8394;3525
2021;40-Jährige;6794;3098;6122;2859
2021;41-Jährige;4451;2096;4128;1999
2021;42-Jährige;2596;1367;2470;1276
2021;43-Jährige;1530;787;1410;769
2021;44-Jährige;813;450;767;406
2021;45-Jährige;415;240;378;213
2021;46-Jährige;211;104;181;126
2021;47-Jährige;105;54;93;68
2021;48-Jährige;52;34;43;27
2021;49-Jährige;38;31;32;26
2021;50 Jahre und mehr;61;35;50;29
2021;Alter unbekannt;.;.;.;.
2022;unter 15 Jahre;-;26;-;34
2022;15-Jährige;-;82;-;92
2022;16-Jährige;.;.;.;.
2022;17-Jährige;.;.;.;.
2022;18-Jährige;80;1092;101;1050
2022;19-Jährige;429;1752;397;1682
2022;20-Jährige;881;2389;817;2254
2022;21-Jährige;1484;3038;1447;2879
2022;22-Jährige;2301;3576;2244;3413
2022;23-Jährige;3284;3934;3178;3670
2022;24-Jährige;4714;4542;4560;4137
2022;25-Jährige;6765;5197;6250;4912
2022;26-Jährige;8794;5898;8381;5542
2022;27-Jährige;10552;6049;10128;5725
2022;28-Jährige;13359;6532;12527;6193
2022;29-Jährige;16071;7095;15329;6787
2022;30-Jährige;18606;7814;17884;7215
2022;31-Jährige;20590;8079;19594;7578
2022;32-Jährige;22680;8962;21301;8388
2022;33-Jährige;21403;8175;20022;7849
2022;34-Jährige;20405;7812;19544;7494
2022;35-Jährige;17942;7094;17306;6718
2022;36-Jährige;15459;6219;14843;5865
2022;37-Jährige;12384;5307;11688;4828
2022;38-Jährige;9907;4308;9306;4054
2022;39-Jährige;7816;3543;7320;3383
2022;40-Jährige;5954;2837;5667;2712
2022;41-Jährige;4088;1966;3995;1958
2022;42-Jährige;2523;1401;2311;1349
2022;43-Jährige;1449;813;1377;775
2022;44-Jährige;779;431;746;458
2022;45-Jährige;435;218;420;260
2022;46-Jährige;240;136;227;111
2022;47-Jährige;112;64;126;60
2022;48-Jährige;67;47;61;50
2022;49-Jährige;44;18;57;39
2022;50 Jahre und mehr;80;55;82;61
2022;Alter unbekannt;.;.;.;.
2023;unter 15 Jahre;-;25;-;28
2023;15-Jährige;-;98;-;88
2023;16-Jährige;.;.;.;.
2023;17-Jährige;22;568;24;526
2023;18-Jährige;84;1097;87;983
2023;19-Jährige;389;1688;405;1596
2023;20-Jährige;931;2356;835;2226
2023;21-Jährige;1499;2796;1513;2701
2023;22-Jährige;2134;3480;2201;3148
2023;23-Jährige;3413;3867;3243;3820
2023;24-Jährige;4718;4323;4401;4026
2023;25-Jährige;6179;4672;5950;4629
2023;26-Jährige;8335;5218;7761;5180
2023;27-Jährige;10527;5835;9801;5468
2023;28-Jährige;12261;6066;11777;5806
2023;29-Jährige;14799;6309;14108;5982
2023;30-Jährige;17244;6602;16410;6356
2023;31-Jährige;19104;6986;17862;6763
2023;32-Jährige;20013;7299;18959;6862
2023;33-Jährige;20624;7701;19864;7227
2023;34-Jährige;19042;7285;18206;6733
2023;35-Jährige;17618;6785;16736;6356
2023;36-Jährige;14923;5865;14190;5645
2023;37-Jährige;12142;5117;11397;4760
2023;38-Jährige;9342;4074;8849;3906
2023;39-Jährige;7337;3324;6901;3211
2023;40-Jährige;5566;2650;5391;2548
2023;41-Jährige;3765;1948;3714;1873
2023;42-Jährige;2441;1346;2310;1143
2023;43-Jährige;1434;795;1397;784
2023;44-Jährige;846;501;751;451
2023;45-Jährige;407;254;394;223
2023;46-Jährige;252;124;221;139
2023;47-Jährige;152;82;107;61
2023;48-Jährige;82;37;86;42
2023;49-Jährige;53;33;45;26
2023;50 Jahre und mehr;80;36;110;42
2023;Alter unbekannt;.;.;.;.
__________
"1992-1998:
Für die Jahre 1992-1998 liegen Fälle vor, wo das Alter der
Mutter unbekannt ist.

Alter der Mutter:
Differenz zwischen Geburtsjahr des Kindes und dem
Geburtsjahr der Mutter (""Geburtsjahrmethode"")."
© Statistisches Bundesamt (Destatis), 2024
Stand: 24.09.2024 / 11:55:20
